Taxon Id	Common name	Scientific name	Lineage	Links
35304	BUNV	Bunyamwera virus	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Peribunyaviridae, Orthobunyavirus, Bunyamwera orthobunyavirus	
36351	HHV-6 variant B	Human herpesvirus 6B (strain Z29)	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Betaherpesvirinae, Roseolovirus, Human herpesvirus 6B	
63746	HCV	Hepatitis C virus genotype 1a (isolate H77)	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Hepacivirus, Hepacivirus C, hepatitis C virus genotype 1a	
64320	ZIKV	Zika virus	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Flavivirus	
79692		Human respiratory syncytial virus B (strain B1)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Pneumoviridae, Orthopneumovirus, Human respiratory syncytial virus, Human respiratory syncytial virus B	
82830	HHV-4	Epstein-Barr virus (strain AG876)	Viruses, Duplodnaviria, Heunggongvirae, Peploviricota, Herviviricetes, Herpesvirales, Herpesviridae, Gammaherpesvirinae, Lymphocryptovirus, Epstein-Barr virus (strain GD1)	
93838		Influenza A virus (strain A/Goose/Guangdong/1/1996 H5N1 genotype Gs/Gd)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Insthoviricetes, Articulavirales, Orthomyxoviridae, Alphainfluenzavirus, Influenza A virus, H5N1 subtype	
103929	RABV	Rabies virus (strain Pasteur vaccins / PV)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Lyssavirus, Lyssavirus rabies	
122962	HPeV-2	Human parechovirus 2 (strain Williamson)	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Paavivirinae, Parechovirus, Parechovirus A, Human parechovirus 2	
128952	ZEBOV	Zaire ebolavirus (strain Mayinga-76)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Filoviridae, Ebolavirus, Zaire ebolavirus, Ebola virus	
211044		Influenza A virus (strain A/Puerto Rico/8/1934 H1N1)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Insthoviricetes, Articulavirales, Orthomyxoviridae, Alphainfluenzavirus, Influenza A virus, H1N1 subtype	
291175	Hu/Dresden/pJG-Sap01/DE	Sapporo virus (isolate GI/Human/Germany/pJG-Sap01)	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Caliciviridae, Sapovirus, Sapporo virus, Sapovirus isolates	
